,0,1,2,prev_error_0,prev_error_1,prev_error_2
2019-01-08 00:30:00+00:00,2.7953364337756312,2.7953364337756312,2.5504054220002654,-0.07865682950857344,-0.07865682950857344,-0.30702697252567246
2019-01-08 01:00:00+00:00,2.8069593067240186,2.8069593067240186,2.5504054220002654,-0.07320552435988548,-0.07320552435988548,-0.3181365361352513
2019-01-08 01:30:00+00:00,2.8107231853429284,2.8107231853429284,2.552570452069875,-0.025576303025424352,-0.025576303025424352,-0.28213018774917753
2019-01-08 02:00:00+00:00,2.814364821701821,2.814364821701821,2.5547354821394848,-0.06399910720145119,-0.06399910720145119,-0.3221518404745045
2019-01-08 02:30:00+00:00,2.815960871854785,2.815960871854785,2.5569005122090944,-0.06038253471984989,-0.06038253471984989,-0.32001187428218625
2019-01-08 03:00:00+00:00,2.816715027733115,2.816715027733115,2.5547354821394848,-0.08655099463684923,-0.08655099463684923,-0.34561135428253964
2019-01-08 03:30:00+00:00,2.815842572893478,2.815842572893478,2.5493229069654606,-0.07128694246302203,-0.07128694246302203,-0.3332664880566525
2019-01-08 04:00:00+00:00,2.8149661747551304,2.8149661747551304,2.5406627866870215,-0.07524225420954789,-0.07524225420954789,-0.34176192013756523
2019-01-08 04:30:00+00:00,2.8095293516584077,2.8095293516584077,2.527672606269363,-0.05991276702232273,-0.05991276702232273,-0.3342161550904317
2019-01-08 05:00:00+00:00,2.8034546999953065,2.8034546999953065,2.512517395782095,-0.03913486312829173,-0.03913486312829173,-0.3209916085173363
2019-01-08 05:30:00+00:00,2.794326949305814,2.794326949305814,2.497362185294827,-0.05450821326664057,-0.05450821326664057,-0.3454455174798521
2019-01-08 06:00:00+00:00,2.7836869435609493,2.7836869435609493,2.4789594297031443,-0.06686502681389017,-0.06686502681389017,-0.3638297908248771
2019-01-08 06:30:00+00:00,2.7687014226374176,2.7687014226374176,2.4583916440418516,-0.053445799015093165,-0.053445799015093165,-0.3581733128728981
2019-01-08 07:00:00+00:00,2.7525299546267856,2.7525299546267856,2.4378238583805594,-0.08987764427461897,-0.08987764427461897,-0.40018742287018494
2019-01-08 07:30:00+00:00,2.740755264678054,2.740755264678054,2.416173557684462,-0.0820149426188812,-0.0820149426188812,-0.39672103886510746
2019-01-08 08:00:00+00:00,2.7291146468854706,2.7291146468854706,2.3923582269187547,-0.028638172204088264,-0.028638172204088264,-0.3532198791976806
2019-01-08 08:30:00+00:00,2.7107723929348597,2.7107723929348597,2.366377866083438,0.0071170019620727665,0.0071170019620727665,-0.32963941800464314
2019-01-08 09:00:00+00:00,2.677198161891328,2.677198161891328,2.3468925954569504,-0.03739611719403246,-0.03739611719403246,-0.3817906440454544
2019-01-08 09:30:00+00:00,2.6763602109154054,2.6763602109154054,2.3317373849696823,-0.08772346155067412,-0.08772346155067412,-0.4180290279850518
2019-01-08 10:00:00+00:00,2.673997189163303,2.673997189163303,2.316582174482414,-0.09594899035834592,-0.09594899035834592,-0.44057181630406905
2019-01-08 10:30:00+00:00,2.664573691070543,2.664573691070543,2.3003444489603413,-0.12579873087376026,-0.12579873087376026,-0.48321374555464924
2019-01-08 11:00:00+00:00,2.6543694198331584,2.6543694198331584,2.284106723438268,-0.07070989747393641,-0.07070989747393641,-0.434939139584138
2019-01-08 11:30:00+00:00,2.6410272686471132,2.6410272686471132,2.2700340279858047,-0.009277430098550532,-0.009277430098550532,-0.37954012649344104
2019-01-08 12:00:00+00:00,2.6244723148369116,2.6244723148369116,2.260291392672561,0.0068409178154436034,0.0068409178154436034,-0.36415232284586496
2019-01-08 12:30:00+00:00,2.624387533914642,2.624387533914642,2.2548788174985366,-0.0630311689636831,-0.0630311689636831,-0.4272120911280335
2019-01-08 13:00:00+00:00,2.621253597264691,2.621253597264691,2.2494662423245124,-0.0027579560544803705,-0.0027579560544803705,-0.37226667247058565
2019-01-08 13:30:00+00:00,2.6131925088763137,2.6131925088763137,2.2440536671504883,0.0243978030026768,0.0243978030026768,-0.34738955193750165
2019-01-08 14:00:00+00:00,2.603961246595677,2.603961246595677,2.236476061906854,0.0030946327784793226,0.0030946327784793226,-0.36604420894734613
2019-01-08 14:30:00+00:00,2.580722401471645,2.580722401471645,2.2256509115588052,0.02434939991040297,0.02434939991040297,-0.3431357847784202
2019-01-08 15:00:00+00:00,2.556396191728268,2.556396191728268,2.2169907912803666,0.09566194321314558,0.09566194321314558,-0.2594095466996942
2019-01-08 15:30:00+00:00,2.545230741430266,2.545230741430266,2.2083306710019275,0.16494722649810223,0.16494722649810223,-0.174458173949799
2019-01-08 16:00:00+00:00,2.5336384290468827,2.5336384290468827,2.2018355807930985,0.25852789671530463,0.25852789671530463,-0.07837217371303407
2019-01-08 16:30:00+00:00,2.51938340420942,2.51938340420942,2.1942579755494642,0.2669449130365198,0.2669449130365198,-0.06485793521726446
2019-01-08 17:00:00+00:00,2.518605588538828,2.518605588538828,2.1877628853406352,0.22556241834359447,0.22556241834359447,-0.09956301031636139
2019-01-08 17:30:00+00:00,2.516537328365315,2.516537328365315,2.181267795131806,0.16225440614290942,0.16225440614290942,-0.16858829705528322
2019-01-08 18:00:00+00:00,2.5123525026090894,2.5123525026090894,2.1585349794009034,0.06824975540673028,0.06824975540673028,-0.2670197778267789
2019-01-08 18:30:00+00:00,2.4776800628747595,2.4776800628747595,2.1206469531827334,0.09417708956012971,0.09417708956012971,-0.2596404336480562
2019-01-08 19:00:00+00:00,2.4311304074252336,2.4311304074252336,2.088171502138587,0.193022012815518,0.193022012815518,-0.16401109687650806
